timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-14 00:00:00,0.0,22.2,0.02,0.0
2026-07-14 01:00:00,0.0,21.2,0.01,0.0
2026-07-14 02:00:00,0.0,20.3,0.01,0.0
2026-07-14 03:00:00,0.0,20.0,0.05,0.0
2026-07-14 04:00:00,0.0,19.3,0.15,0.0
2026-07-14 05:00:00,0.0,18.8,0.34,0.69
2026-07-14 06:00:00,5.0,18.4,0.27,31.57
2026-07-14 07:00:00,101.0,18.6,0.41,132.31
2026-07-14 08:00:00,243.0,19.7,0.34,192.8
2026-07-14 09:00:00,444.0,21.7,0.25,199.97
2026-07-14 10:00:00,580.0,23.4,0.03,199.97
2026-07-14 11:00:00,805.0,25.4,0.03,199.97
2026-07-14 12:00:00,905.0,26.3,0.24,199.97
2026-07-14 13:00:00,859.0,26.5,0.09,199.97
2026-07-14 14:00:00,887.0,27.7,0.04,199.97
2026-07-14 15:00:00,898.0,29.1,0.26,199.92
2026-07-14 16:00:00,703.0,27.9,0.65,199.93
2026-07-14 17:00:00,461.0,26.1,0.97,180.9
2026-07-14 18:00:00,221.0,24.6,0.17,94.04
2026-07-14 19:00:00,229.0,24.3,0.02,7.2
2026-07-14 20:00:00,82.0,22.8,0.01,0.0
2026-07-14 21:00:00,1.0,22.1,0.0,0.0
2026-07-14 22:00:00,0.0,20.6,0.01,0.0
2026-07-14 23:00:00,0.0,19.5,0.01,0.0
